open,high,low,close,volume,date
93.78,95.03,91.39,91.71,388290.0,2023-09-28
91.76,93.1,90.35,90.79,330815.0,2023-09-29
90.82,91.88,88.46,88.82,313370.0,2023-10-02
88.67,90.27,87.76,89.23,329153.0,2023-10-03
89.42,89.59,84.16,84.22,434550.0,2023-10-04
84.45,84.92,82.15,82.31,435570.0,2023-10-05
82.28,83.28,81.5,82.79,431774.0,2023-10-06
85.25,87.24,84.67,86.38,404565.0,2023-10-09
86.43,86.74,85.12,85.97,312491.0,2023-10-10
85.96,86.51,83.11,83.49,386418.0,2023-10-11
83.2,85.2,82.31,82.91,341323.0,2023-10-12
83.51,87.83,83.35,87.69,328180.0,2023-10-13
87.72,88.33,86.32,86.66,214003.0,2023-10-16
87.06,87.75,85.6,86.66,172652.0,2023-10-17
87.81,89.88,87.2,88.32,72512.0,2023-10-18
88.24,90.68,86.6,89.37,38532.0,2023-10-19
90.28,90.78,88.33,88.75,20066.0,2023-10-20
88.0,88.29,85.35,85.49,298666.0,2023-10-23
86.15,86.3,82.94,83.74,342750.0,2023-10-24
